type,latitude,longitude,utm_zone,utm_easting,utm_northing,altitude,(m),name,desc,kml_folder
T,30.722610022,79.531356652,44R,359382.8,3399781.7,4900.1,,,,
T,30.728237304,79.551392705,44R,361309.4,3400380.4,5202.2,,,,
T,30.731066487,79.564793684,44R,362596.6,3400677.5,5014.6,,,,
T,30.733896428,79.57820366,44R,363884.5,3400974.8,4683.6,,,,
T,30.736714282,79.605067879,44R,366460.5,3401254.8,4156.9,,,,
T,30.739534729,79.628608285,44R,368718.1,3401539.6,4043.6,,,,
T,30.742135101,79.651770027,44R,370939.0,3401800.9,3913.9,,,,
T,30.74480929,79.668302686,44R,372525.3,3402078.4,4590.6,,,,
T,30.747478174,79.684815628,44R,374109.6,3402355.5,4944.3,,,,
T,30.747266492,79.701254638,44R,375683.0,3402313.7,5975.2,,,,
T,30.750068093,79.714663516,44R,376970.2,3402609.4,5419.2,,,,
T,30.75292723,79.731593094,44R,378594.3,3402907.8,5062.3,,,,
T,30.755777965,79.755307104,44R,380867.8,3403198.3,4499.2,,,,
T,30.755744482,79.775600542,44R,382810.2,3403173.2,5241.4,,,,
T,30.755707996,79.795923235,44R,384755.5,3403148.1,4464.2,,,,
T,30.755680195,79.812888267,44R,386379.3,3403127.6,3570.1,,,,
T,30.755447592,79.836134638,44R,388604.1,3403078.5,3343.9,,,,
T,30.755162917,79.862627192,44R,391139.6,3403020.9,3991.1,,,,
T,30.755018598,79.875863044,44R,392406.4,3402992.1,4705.7,,,,
T,30.75764558,79.895670548,44R,394305.2,3403264.4,4882.4,,,,
T,30.757404841,79.915433248,44R,396196.5,3403219.3,4344.7,,,,
T,30.757038739,79.945039449,44R,399029.9,3403151.6,5029.9,,,,
T,30.756708209,79.971318342,44R,401544.8,3403091.6,5523.9,,,,
T,30.756759761,79.992169394,44R,403540.6,3403079.2,4902.3,,,,
T,30.759759565,80.003126007,44R,404592.3,3403402.3,4405.2,,,,
T,30.762367932,80.029805317,44R,407148.3,3403668.9,4453.2,,,,
T,30.762239895,80.043146907,44R,408425.1,3403643.8,4862.8,,,,
T,30.764970219,80.056478808,44R,409703.6,3403935.5,5273.3,,,,
T,30.764839229,80.069818235,44R,410980.2,3403910.3,4933.4,,,,
T,30.767432679,80.096483514,44R,413534.5,3404176.9,4666.4,,,,
T,30.7672295,80.116487174,44R,415448.7,3404139.1,4945.3,,,,
T,30.76986622,80.139896701,44R,417691.3,3404413.9,4770.4,,,,
T,30.769799835,80.146577242,44R,418330.6,3404401.6,4744.0,,,,
T,30.772187505,80.175803047,44R,421129.4,3404645.3,4819.9,,,,
T,30.771714678,80.198058353,44R,423258.8,3404577.4,5770.0,,,,
T,30.771478217,80.221432974,44R,425495.5,3404535.4,5203.2,,,,
T,30.774163814,80.241651325,44R,427432.4,3404819.8,5525.8,,,,
T,30.773980429,80.261822215,44R,429362.5,3404786.6,5085.2,,,,
T,30.773888799,80.271916639,44R,430328.4,3404770.1,4934.2,,,,
T,30.773734281,80.28874527,44R,431938.7,3404742.6,4891.2,,,,
T,30.773546003,80.308947543,44R,433871.8,3404709.6,4887.8,,,,
T,30.773320842,80.332520569,44R,436127.4,3404671.0,4902.2,,,,
T,30.773239512,80.339164969,44R,436763.2,3404658.2,4834.0,,,,
T,30.773030948,80.359318263,44R,438691.6,3404623.9,4928.5,,,,
T,30.775662709,80.382953442,44R,440955.0,3404902.8,4717.8,,,,
T,30.775493082,80.399813674,44R,442568.3,3404875.3,4689.6,,,,
T,30.775321234,80.41667956,44R,444182.1,3404847.7,4704.0,,,,
T,30.775182214,80.430176644,44R,445473.6,3404825.6,4706.1,,,,
T,30.775041647,80.44367732,44R,446765.4,3404803.6,4704.5,,,,
T,30.774899672,80.457181513,44R,448057.6,3404781.5,4701.5,,,,
T,30.774647655,80.480822862,44R,450319.7,3404742.8,4788.8,,,,
T,30.774428372,80.501096191,44R,452259.6,3404709.7,4658.9,,,,
T,30.774243878,80.517990228,44R,453876.1,3404682.2,4663.2,,,,
T,30.774081479,80.531444022,44R,455163.5,3404658.7,4665.2,,,,
T,30.773877565,80.548251603,44R,456771.7,3404629.5,4660.0,,,,
T,30.773754292,80.558337831,44R,457736.8,3404612.0,4656.5,,,,
T,30.77063187,80.578451073,44R,459660.2,3404258.6,4653.0,,,,
T,30.770463778,80.591902572,44R,460947.4,3404235.2,4657.1,,,,
T,30.76450489,80.608594529,44R,462542.4,3403569.1,4660.8,,,,
T,30.758543008,80.625284363,44R,464137.4,3402902.9,4658.2,,,,
T,30.749748263,80.638543428,44R,465403.3,3401924.1,4647.7,,,,
T,30.740951556,80.65180111,44R,466669.2,3400945.2,4635.1,,,,
T,30.729413167,80.654883295,44R,466960.3,3399665.6,4636.5,,,,
T,30.714993906,80.657823369,44R,467236.9,3398066.8,4654.1,,,,
T,30.703497854,80.657499385,44R,467202.0,3396792.9,4664.4,,,,
T,30.692142672,80.647146564,44R,466206.6,3395537.5,4691.0,,,,
T,30.686534166,80.636957927,44R,465228.8,3394919.1,4720.9,,,,
T,30.678098467,80.623350316,44R,463922.4,3393988.6,4759.0,,,,
T,30.672534795,80.609824882,44R,462624.7,3393376.4,4827.6,,,,
T,30.664143199,80.592884229,44R,460998.6,3392452.2,4931.7,,,,
T,30.658621066,80.576003745,44R,459379.1,3391846.2,4814.6,,,,
T,30.653010023,80.565807103,44R,458399.8,3391228.1,4799.9,,,,
T,30.647571251,80.54218914,44R,456134.5,3390634.4,5031.1,,,,
T,30.644872517,80.528705996,44R,454841.3,3390340.6,4965.7,,,,
T,30.642297941,80.505135031,44R,452581.5,3390065.0,5004.9,,,,
T,30.639714074,80.481360206,44R,450302.0,3389789.0,4931.5,,,,
T,30.636926636,80.47452837,44R,449645.9,3389483.1,4849.9,,,,
