type,latitude_df1,longitude_df1,utm_zone,utm_easting,utm_northing,altitude
T,29.50592867,79.38780047,44R,343731.9,3265123.3,1580.5
T,29.50608624,80.21442587,44R,423859.6,3264314.8,2038.8
T,29.50618388,79.24808275,44R,330187.6,3265347.5,1650
T,29.50650314,79.26808604,44R,332127.4,3265353.8,1854.8
T,29.50658735,79.30468288,44R,335675.4,3265310.9,2033.6
T,29.50673769,79.28474192,44R,333742.5,3265355.9,1651.4
T,29.50866219,79.41775109,44R,346639.5,3265386.4,1362.6
T,29.50866762,79.43770301,44R,348573.6,3265360.8,846.2
T,29.50879182,79.39779409,44R,344705.1,3265427.2,1906.8
T,29.50892881,79.3811659,44R,343093.4,3265464.7,1823
T,29.50906385,79.36453954,44R,341481.9,3265502.2,1745
T,29.50922286,79.3445906,44R,339548.3,3265547.2,1867.7
T,29.50937885,79.32464438,44R,337614.9,3265592.2,2422.4
T,29.51013884,79.02775589,44R,308834.8,3266127.8,808.8
T,29.510185,78.88768709,44R,295255.2,3266371.5,513.4
T,29.51019716,78.37225106,44R,245278.1,3267391.7,253.4
T,29.51023408,78.90104899,44R,296550.8,3266353.5,485.4
T,29.51103464,79.51422735,44R,355995,3265525.9,1016.8
T,29.51121214,79.49426371,44R,354060.1,3265570.5,1395.7
T,29.51138669,79.4743028,44R,352125.5,3265615,887.4
T,29.51144411,79.46764972,44R,351480.6,3265629.9,926.6
T,29.51157019,79.45102029,44R,349868.9,3265665.2,1009.3
T,29.5120522,80.20777113,44R,423219.1,3264980.3,2273.9
T,29.51225433,80.19108812,44R,421602.3,3265013.8,2355.6
T,29.51315325,78.97776847,44R,303994.4,3266545.2,586.2
T,29.51317713,78.96110116,44R,302378.6,3266576.1,514.3
T,29.51320284,78.9411006,44R,300439.7,3266613.1,574.5
T,29.5132047,78.9177564,44R,298176.5,3266653.6,541
T,29.51372516,79.53754146,44R,358258.7,3265795.4,1537.6
T,29.51413194,78.51970604,44R,259585.8,3267513.8,260.9
T,29.51503477,80.20444458,44R,422898.9,3265313,2274.7
T,29.51598707,79.03445433,44R,309495.1,3266765,974.2
T,29.51601224,79.02111995,44R,308202.5,3266789.8,935.2
T,29.51604145,79.00445213,44R,306586.8,3266820.6,892.7
T,29.51606839,78.98778448,44R,304971,3266851.4,697.8
T,29.51634991,79.56751748,44R,361167.9,3266050.1,1186.8
T,29.51653507,79.54754604,44R,359232.3,3266094.7,1712.9
T,29.51754013,79.80049218,44R,383750.3,3265926.4,1366.1
T,29.51798466,78.67040386,44R,274205.7,3267638.5,254.1
T,29.51880001,79.09447933,44R,315319.1,3266979.9,566.5
